Sun Jan  8 12:11:03 2023    profile_job

         97828 function calls (96635 primitive calls) in 55.695 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/datetime.py:1(<module>)
       92    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/traceback.py:285(line)
       21    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:171(<setcomp>)
       79    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
        7    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/tasks.py:376(create_task)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/linecache.py:15(getline)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/linecache.py:37(getlines)
        1    0.000    0.000    0.001    0.001 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/linecache.py:82(updatecache)
     2917    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      947    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
   228/64    0.000    0.000    0.001    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:174(getwidth)
      382    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/enum.py:368(__setattr__)
     1189    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/sre_parse.py:164(__getitem__)
       62    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       38    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/typing.py:1432(_alias)
        3    0.000    0.000    0.000    0.000 /home/vishal/.pyenv/versions/3.8.1/lib/python3.8/asyncio/selector_events.py:867(_read_ready__on_eof)
